Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.25855284071170237,284.65946302091913,246.3960467797727,8640838,7479352,30355.0,37.80363435550001
2,0.5146294564061478,1699.4598429933158,1381.7489243384912,276881096,225118680,162923.0,202.90171372430004
3,0.7027766384603914,37.868982762289846,16.88082570759736,3558927,1586460,93980.0,117.04119771800002
4,0.6930476390523788,110.67285914741399,50.17321488566968,11199872,5077429,101198.0,126.03038015180002
5,0.08895145441326473,503.0094965206713,769.3915268112976,73731132,112777410,146580.0,182.54840137800002
6,0.2296625071953445,24.39230291744258,16.407268389199256,2514944,1691655,103104.0,128.40408224640004
7,0.8242515351062065,161.0596451058958,83.63918145392101,5627424,2922353,34940.0,43.51372045400001
8,0.6784700620115396,3210.0658529382813,1454.2938281326901,32611059,14774171,10159.0,12.651857071900002
9,0.6045734406278613,95.83146030104507,56.19130071774534,20201176,11845070,210799.0,262.52572289590006
10,-0.11848340885517712,1522.9103564314003,2152.0103492884864,191885182,271151152,125999.0,156.91715121590002
11,0.8477157858920048,131.32580043999812,86.40271937673661,19519873,12842641,148637.0,185.11015647170004
12,-0.4476222553853543,606.360940834582,2809.293658902057,106831096,494952594,176184.0,219.41675227440004
13,0.6499655390350593,123.00480997144079,109.57572814411414,10638317,9476876,86487.0,107.70953465670001
14,0.27511945141011696,111.18599576616187,319.0981707648049,10241898,29393728,92115.0,114.71855637150003
15,0.43541492659872894,70.4333239555493,160.11374079804943,6008526,13658983,85308.0,106.24122680280001
16,0.777871179880854,145.22679522661667,67.62161116566973,14640168,6816867,100809.0,125.54592573690002
17,0.7239352728952659,60.97871758534099,27.37941208158259,7357875,3303682,120663.0,150.27178165830003
18,0.6182839061956366,37.381839296082894,29.5690294340971,2510826,1986063,67167.0,83.64871384470001
19,0.1862017807849525,17.09419952186069,6.253008630819726,1687471,617272,98716.0,122.93933681560003
20,-0.23674302444205508,223.60662115301258,604.8226592977893,20634419,55813035,92280.0,114.92404474800003
21,0.3114524445537664,360.32896288371586,965.341582264148,46142646,123618747,128057.0,159.48015169370004
22,0.5753211390665375,180.2162857605965,63.731866439743904,8894755,3145550,49356.0,61.46717763960001
23,0.8039983033653038,62.44712076435314,28.443161277364933,4352939,1982659,69706.0,86.81074407460002
24,-0.3002008374260366,671.5953188365263,1062.1965808977766,76841250,121532284,114416.0,142.49186718560003
25,-0.19694727281112467,1084.62893027731,1583.2026562661076,63127573,92145561,58202.0,72.48384538820001
26,0.20458959817894135,1923.861334189956,911.9292572366777,53900823,25549522,28017.0,34.891926329700006
27,,49.64,0.0,1241,0,25.0,0.031134602500000007
28,0.1905112422181007,3.967085387183972,7.783431388138019,24949,48950,6289.0,7.832220604900002
29,0.7896483274902694,266.7751196172249,111.02870813397129,55756,23205,209.0,0.26028527690000003
30,0.47915430117868174,105.90811861934857,66.63636363636364,217853,137071,2057.0,2.5617550937000004
