Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.8611638188320305,2263.500162079558,1819.1075127734127,146636331,117847242,64783.0,80.67971815030002
2,0.7967204850204219,276.317698237389,285.20103232204843,12259111,12653229,44366.0,55.252710980600014
3,0.7640785312636739,1085.907069015725,1144.387594641817,59664078,62877232,54944.0,68.42638399040001
4,0.878711292343725,598.9105413479531,544.7513870194675,18243414,16593672,30461.0,37.93564507010001
5,0.528563883812999,136.26006793811902,147.41968159122536,6658757,7204105,48868.0,60.85943019880001
6,0.903597706347329,1255.3798124026887,940.0809554551323,165289583,123775759,131665.0,163.97349752650004
7,0.5311178797956887,60.47896705746153,26.980716562848283,7000259,3122937,115747.0,144.14947342270003
9,0.6389901735124914,60.59695781216875,23.98256306974772,5716717,2262515,94340.0,117.48953599400002
10,0.9623852314654857,3804.8561056518747,3350.8125013039576,364741116,321215588,95862.0,119.38501059420003
11,0.7186421268785107,159.90328243356979,68.47384874353733,6649578,2847485,41585.0,51.78929779850001
12,0.07037842920348547,57.17717488789238,109.47863228699552,2550102,4882747,44600.0,55.54413086000001
13,0.7563822251138393,1244.2584337680921,864.5928188383199,203484780,141394645,163539.0,203.66887032990005
14,0.5202310433269598,305.5951557093426,219.63473252484607,27643221,19867499,90457.0,112.65370953370002
15,0.26051211220325754,77.19475968530628,24.19380919116384,6740878,2112676,87323.0,108.75067576430003
16,0.8302498666464386,999.4426727343556,782.2864946701137,112885051,88357695,112948.0,140.6636433268
17,0.5255512906664668,295.02091373086023,382.8074754139176,47398060,61501849,160660.0,200.08340950600004
18,0.3875164707579085,22.937512084188818,3.2419415723716316,2491312,352117,108613.0,135.26490325330002
19,0.16511140059458843,54.38315461777932,175.87755102040816,4716651,15253860,86730.0,108.01216299300002
20,0.7507057261275226,1073.337951684937,1139.2424380836378,42298102,44895266,39408.0,49.07809661280001
21,0.8883951827729093,1769.084016982509,1164.9787165822702,320013146,210735330,180892.0,225.28002061720005
22,0.7699054501601027,164.67947850208046,86.51963384188628,14841738,7797582,90125.0,112.24024201250002
23,0.14440515893364014,452.58890377553087,136.08449400946535,46954741,14118358,103747.0,129.20486422270002
24,0.9230706916628011,2599.627333800437,1889.8920578658863,63074758,45854451,24263.0,30.216754418300006
25,0.903419747039437,173.43668267032464,98.21700960219479,30344482,17184048,174960.0,217.89240213600004
26,0.8803131301942512,282.95561808904404,199.24522728068843,24233168,17063959,85643.0,106.65843047630003
27,0.8314016910853342,547.9716660079919,605.3011570719711,49915835,55138093,91092.0,113.44452843720002
28,0.7648524043535229,72.97758012349308,63.50683622463981,5956722,5183682,81624.0,101.65323177840001
29,0.5501723000530927,2534.923042346968,1884.1652854890888,400408839,297617096,157957.0,196.71713628370003
30,0.7574000301080122,164.61885806032137,101.52347969162587,12406171,7651114,75363.0,93.85588192830002
31,0.8631062576497939,1766.7867351296593,1334.3792147943627,177892456,134354640,100687.0,125.39398887670002
32,0.6978223731195942,130.56035976261566,58.11319989678941,14167888,6306212,108516.0,135.1441009956
33,-0.002710201583466189,20.79872872272006,8.702343180551386,1940355,811859,93292.0,116.18437345720002
34,0.8892040413704132,293.5247359221825,171.103883273805,15449968,9006224,52636.0,65.55203748760002
35,0.3236612833304681,33.71950384493837,18.429869377436006,2560794,1399638,75944.0,94.57945009040002
36,0.372589151022193,12.476399405562239,3.7080178331328284,176304,52398,14131.0,17.598522717100003
