Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,-0.5738656871269205,389.3049329513446,1608.4420998146231,32341118,133619719,83074.0,103.45903872340001
2,-0.176133717228267,9377.679592679235,7980.058676207514,340737988,289955432,36335.0,45.25103127350001
3,-0.2559483822572357,75.38419545714831,602.5157472800153,3949378,31565800,52390.0,65.245672999
4,-0.2119472479074525,270.2520765619357,194.72946912242688,7483280,5392059,27690.0,34.484685729000006
5,-0.08927614367062263,77.3034154759149,248.99111934173698,3673381,11831809,47519.0,59.179407047900014
6,0.4951129303811328,170.31074499428777,27.565490148918688,8497314,1375325,49893.0,62.13594890130001
7,0.6634758419995122,193.24327055581074,12.451355075792375,4206906,271066,21770.0,27.112011857000006
8,0.6776813301892316,72.9103572097528,32.18491395260655,15959421,7044988,218891.0,272.6033710331001
9,0.3122379951322694,631.9825503929982,993.697525884093,103401193,162582827,163614.0,203.76227413740003
10,0.3779967014597102,73.53706533704592,55.0926439163375,11356329,8507957,154430.0,192.32466656300005
11,0.8268085669416135,935.800140550737,798.3716457381688,50601521,43170350,54073.0,67.34165443930002
12,0.24514300918050472,912.0562901598428,1396.7581116244492,17174932,26302352,18831.0,23.451827987100003
13,-0.5671217509962109,683.9582870515158,1416.62078745592,63422768,131361829,92729.0,115.48322220890002
14,0.4879131169984484,64.31919340262088,72.90437189335744,1138707,1290699,17704.0,22.048280106400004
15,0.6264004366522083,91.62109850020268,13.419031211998378,904117,132419,9868.0,12.289450298800002
16,0.514125645541353,232.6929370986988,24.085409682368315,32761304,3391033,140792.0,175.34011820720002
17,-0.11360622292416135,1743.1885133430067,1513.6539650495238,221050249,191943432,126808.0,157.92466695280004
18,-0.18611754707635028,878.3922491178109,1640.8728904847396,70943350,132525099,80765.0,100.58344683650002
19,0.7599050906799589,801.0056352774527,344.7084282810864,52023714,22388123,64948.0,80.88520652680002
20,-0.5580621275954842,617.6526313162975,1617.117148391081,198031169,518478483,320619.0,399.2938047579001
21,0.3182140382150085,51.559353823814135,31.910600193610843,8521730,5274184,165280.0,205.83708404800004
22,0.520094306897051,509.8885731077252,235.743857617782,58128827,26875507,114003.0,141.97752355230003
23,-0.32663017885128726,1371.134504525278,3002.9185738167985,190280562,416733028,138776.0,172.82942386160002
24,0.22710376129435766,10.325964215736827,3.7996803134990205,1602094,589528,155152.0,193.22383388320003
25,0.6930620049223195,156.88966962624795,72.85458518476398,19313589,8968618,123103.0,153.31051886230003
26,0.6801083017649221,151.11426698036794,76.70883634820844,19589698,9944150,129635.0,161.44536780350003
27,-0.1032966941865646,873.5007573025604,1554.4195726649837,96888704,172416219,110920.0,138.13800437200004
28,0.7532721721870911,269.9105010941525,92.3860280878646,9744039,3335228,36101.0,44.95961139410001
29,0.6245946441887186,197.55728498074456,86.29607046070461,11080593,4840174,56088.0,69.85110340080001
30,0.7046067782350167,626.2620143260256,336.52528760581725,57703782,31007440,92140.0,114.74969097400002
31,0.7972127163611262,170.5358598373917,89.06169489442749,16654191,8697587,97658.0,121.62172043780002
32,0.265563238776415,26.07791915324851,7.4388770033404645,694794,198194,26643.0,33.180768576300004
33,-0.09553088736446287,1985.8871794871795,4578.038793922127,41822784,96413497,21060.0,26.227789146000006
34,-0.40570105557231695,711.1520409346552,1075.1527656983824,49060957,74172639,68988.0,85.91655829080001
35,-0.20398368075512874,938.1695887917045,2514.433945462461,47409462,127064405,50534.0,62.934240109400015
36,0.4734898158161852,260.6602396794471,42.351137742160795,28362962,4608312,108812.0,135.51273468920002
37,0.9284882627663682,948.2031573841338,358.749437756317,21502403,8135361,22677.0,28.241575235700004
38,-0.22952342593547098,452.5882727581522,1072.0621008831522,53296795,126246033,117760.0,146.65643161600002
39,0.8087179112247791,187.82716378471096,68.387986185156,16206479,5900789,86284.0,107.45672168440002
40,0.5644213884930658,280.2377442478899,355.23283038501563,9695105,12289635,34596.0,43.08530832360001
