Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.21259401210913448,16.601310493671132,7.689992417024752,853822,395504,51431.0,64.05134964710001
2,0.054665519067332136,42.68743876397438,86.1795126240422,3398347,6860751,79610.0,99.14502820100002
3,0.7040957813289835,4.350146639765376,1.6314661896540965,209142,78436,48077.0,59.87433137570001
4,0.0985442414213289,11.815511239372096,1.5767214939241392,913020,121838,77273.0,96.23456555930002
5,0.0048706419489999,12.094290759270159,2.803346506348272,719187,166701,59465.0,74.05676550650001
6,0.10530310700215748,3.91906096706377,1.7272923292544877,145405,64086,37102.0,46.206240878200006
7,0.7269446775426484,16.240036155468516,16.30617655920458,1347517,1353005,82975.0,103.33574569750002
8,-0.1456550558542777,2.849212142793555,0.987750378349506,160026,55477,56165.0,69.94699797650001
9,0.030760129586313745,1.9739524883937958,0.8512161411881446,167101,72058,84653.0,105.42550021730003
10,0.016589084095536867,2.738118455758932,1.4950363679961634,171283,93522,62555.0,77.90500237550002
11,-0.017339816025232394,2.7245393221454424,1.0711994076999012,66239,26043,24312.0,30.277778239200007
12,0.10355969435116992,3.4672653174000136,1.6644608689645646,250978,120482,72385.0,90.14712807850002
13,0.8480675438700278,47.33012710060611,30.302537957876385,4669685,2989709,98662.0,122.87208607420003
14,0.06967271891919681,2.2996442679120928,1.49189236376334,105372,68360,45821.0,57.06474484610001
15,0.08475996053634074,1.9479273723878041,1.1747173689619732,45488,27432,23352.0,29.082209503200005
16,0.9179718005975579,59.969505660450885,46.89279242415385,3077695,2406585,51321.0,63.914357396100016
17,0.837445994913064,4.605435446501133,2.965059286143347,912369,587399,198107.0,246.71930789870004
18,0.09431716055079978,2.8884368046203814,1.360009505771876,401097,188855,138863.0,172.93777227830003
19,0.016516503123299307,2.5462365916529968,1.4879391021037593,336834,196835,132287.0,164.74812643670003
20,0.5099519970068386,3.2335229485625265,2.110719203067488,589468,384782,182299.0,227.03227604590003
21,0.6633849889544157,10.63162177037882,6.872960921484011,1332812,861615,125363.0,156.12508692830002
22,0.01475351972454505,26.443055529872964,52.57112126087144,4290042,8528981,162237.0,202.04738023170003
23,-0.037905588587824994,3.646404827085312,3.8230627409352476,65267,68429,17899.0,22.291130005900005
24,0.2694921868149708,7.7986094179565,3.4624568070420287,927590,411835,118943.0,148.12972100630003
26,0.2939184160029517,10.915179303660627,5.722127786475807,1464053,767509,134130.0,167.04336933300004
27,-0.019785054102838713,3.7746884579244906,2.324388853802431,490098,301794,129838.0,161.69818077580004
28,0.03170236706343384,2.9919040384186313,1.4414211493715536,281601,135668,94121.0,117.21679687610002
29,0.4506982645176772,12.232051469513086,5.170492762099722,83655,35361,6839.0,8.5171818599
30,0.10292775500571416,3.57211886627544,2.154251467099513,286091,172534,80090.0,99.74281256900002
31,0.25157617319100195,23.419179436480473,37.25070028011204,568524,904298,24276.0,30.232944411600005
32,0.7476351730631484,436.9806569895548,408.04778564580425,51959622,48519330,118906.0,148.08364179460003
33,0.04460436000904364,2.52707207570503,1.0929980912439174,375998,162625,148788.0,185.29820947080003
34,0.07849910596263462,3.237172937269642,1.2801700543736088,354833,140322,109612.0,136.5090419692
35,-0.012976662059595665,2.550019500780031,0.9321222848913957,339989,124278,133328.0,166.04457128480004
36,0.8126048000493206,29.140757168910437,21.126378107902525,3179752,2305247,109117.0,135.8925768397
37,0.6944251503152451,270.21044645694315,311.93470765808706,34014091,39266341,125880.0,156.76895050800002
38,0.8287586839415921,15.961294683615423,9.34879556148606,1818183,1064940,113912.0,141.86419359920004
39,0.11347141330455257,2.9439305315777267,0.7774742971991033,114251,30173,38809.0,48.33211153690001
40,-0.10251549806096082,2.758502130204051,1.983930039614321,36906,26543,13379.0,16.661993873900002
41,-0.032466888363761215,4.648637689759185,2.2945754833605303,470047,232016,101115.0,125.92701327150003
42,0.7178916470100412,5.10040180515419,2.730454059617592,515365,275896,101044.0,125.83859100040003
43,0.050519792264254446,3.5876623376623376,1.7310152901285907,224315,108230,62524.0,77.86639546840001
44,-0.011103146098659214,28.693652447271266,43.1317121760427,3139889,4719817,109428.0,136.27989129480002
