Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.8820192882082365,218.14453046678437,240.7443454864143,33727544,37221724,154611.0,192.55008108510003
2,0.8089456441121124,153.64619075563533,115.33858607476958,8901953,6682487,57938.0,72.15506398580001
3,0.8775801562914127,1954.4677160143694,1905.5349688031763,206743595,201567489,105780.0,131.73673009800004
4,0.847774685289414,68.20630328867234,59.35500406008932,2687874,2339062,39408.0,49.07809661280001
5,0.8410483915113343,1246.0265731880747,2005.3225719268216,387267551,623258266,310802.0,387.06786904820007
6,0.7684051506120836,1517.0367376809238,902.8564644657667,93282589,55516644,61490.0,76.57866830900001
7,0.9561424863791664,1544.3124862955292,1781.1197953465708,253545224,292424248,164180.0,204.46716153800003
8,0.8465246731111087,112.57685834345776,104.83553284215924,20200116,18811059,179434.0,223.46425059940003
9,0.8349810561020665,1354.9592143697955,1265.383310807865,62157399,58048194,45874.0,57.13075020340001
10,0.6632992812859085,658.8585379767467,714.7941839617516,48507801,52626007,73624.0,91.69015897840002
11,0.8453577864036843,69.27694275427143,68.65308777974109,9370330,9285948,135259.0,168.44940798190004
12,0.7847629244956784,814.2582262684278,1369.1986257602298,108311815,182129432,133019.0,165.65974759790004
13,0.5932602187320811,16.825386083812255,8.36897391093559,1665831,828587,99007.0,123.30174358870002
14,0.9095922714132045,105.7235098733438,80.05794430047085,11586028,8773390,109588.0,136.47915275080004
15,0.6626034987628436,1008.0657937408789,799.6128182260418,74600901,59174547,74004.0,92.16340493640001
16,0.8004355015589574,679.5860331173507,1309.0876003090484,154806980,298204919,227796.0,283.69351644360006
