Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,-0.5175755308879204,213.28702426916712,632.5272338665196,12374060,36696700,58016.0,72.25220394560002
2,0.43782236600386265,310.9800806054104,227.60243362618033,32176176,23549341,103467.0,128.85615667470003
3,0.8323525751171181,215.51905986161367,149.43002920078715,13580287,9415885,63012.0,78.47414290920001
4,0.024545493108596696,14.308378067484663,18.499233128834355,447795,578952,31296.0,38.975540793600004
5,-0.09703160466417314,1326.9293479474072,1015.6558474897872,59442454,45498335,44797.0,55.78947152770001
6,0.7333853398235484,36.3926120768527,30.928427111924368,1909302,1622629,52464.0,65.33783142240001
7,0.21007552619076855,4448.320784527376,5938.137564696268,326595712,435978060,73420.0,91.43610062200001
8,0.6535947433911597,43.05553245597919,21.54111026233598,4452674,2227717,103417.0,128.79388746970002
9,0.002130046529210722,861.0616717299499,782.9121199010543,183097876,166479999,212642.0,264.82096579220007
10,-0.11165101303237253,341.28102729215504,492.6043531881643,36251212,52324927,106221.0,132.28594448610002
11,0.7697396919777432,208.55101324731606,75.12535088151286,33878695,12203963,162448.0,202.31015627680003
12,-0.4147610330491061,764.0005829361147,1530.4391795846805,170379006,341301711,223009.0,277.73186275690006
13,-0.3104794234853507,1049.021091528596,1364.5959496586725,87436957,113740437,83351.0,103.80401011910001
14,0.6282009417023723,255.00646683176683,146.4315360930048,34701025,19926257,136079.0,169.47062294390003
15,-0.15441476065297854,2467.7443113698446,3689.789869850569,199657789,298529829,80907.0,100.76029137870002
16,0.737064439369942,192.8039019509755,50.49704522590966,35072765,9185867,181909.0,226.54657624690003
17,0.42984120843045603,217.71705471019547,170.19555210538127,35898712,28063034,164887.0,205.34764809670003
18,-0.14309359330621457,1025.8496824142233,963.5413147194104,107725501,101182437,105011.0,130.77902972510003
19,-0.5441783140712274,1208.0713530890564,3246.1668390842956,217206397,583647813,179796.0,223.91507964360005
20,-0.4611048461678814,1157.1095464250438,3456.386393342757,195642925,584402355,169079.0,210.56829824390005
21,0.7040765210222667,50.90462624799818,11.334149035691823,9631308,2144455,189203.0,235.63040787230005
22,0.524261484382407,38.305002091675135,16.477648957150542,6409576,2757205,167330.0,208.39012145300003
23,0.7612894949682378,65.02972123460607,70.74127891997733,6310159,6864380,97035.0,120.84584614350003
24,-0.5186951520602493,816.0476635447354,2014.811635554351,114402538,282458458,140191.0,174.59164236310002
25,-0.347509903830948,2022.9619538204329,1719.0844516741222,358161368,304360464,177048.0,220.49276413680005
26,0.8429019935380822,56.09611800751761,15.849292460279857,7103788,2007091,126636.0,157.71046088760002
27,0.8841196361289698,1218.3373457208734,546.826099733261,107793615,48380986,88476.0,110.18660363160002
28,0.8749459452494472,229.39649510905258,115.47177767792334,26546680,13362856,115724.0,144.12082958840003
29,0.5468614361862173,103.88418986438258,29.96550083273852,8732505,2518900,84060.0,104.68698744600002
30,0.358577002413379,1256.6864347302987,1193.5360938439944,25068381,23808658,19948.0,24.842922026800004
