Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.7732030886561004,740.6904389225853,243.67349833692037,45428026,14944983,61332.0,76.38189762120001
2,-0.16336090512862245,1574.1767717596335,2896.382957112949,75943010,139730203,48243.0,60.08106513630001
3,0.19966300990450236,269.7048690034693,744.4951549228376,9017852,24892940,33436.0,41.640662767600006
4,0.832442645570419,334.5908655636538,259.9620045751982,62893045,48865058,187970.0,234.09484927700004
5,-0.2655906194120763,3593.6988469059766,6393.858616736721,479640204,853369128,133467.0,166.21767967470004
6,0.8360519726992586,106.11237375582806,60.82089770385419,14520205,8322610,136838.0,170.41586947580004
7,0.5708250238049195,75.0819716683086,21.273295512450318,2210188,626222,29437.0,36.660371751700005
8,0.8745727070130029,547.6841813989239,249.1501614142967,53440284,24310827,97575.0,121.51835355750002
9,0.10391143504458356,12.741105037478315,4.299613760597034,778507,262715,61102.0,76.09545927820001
10,0.7799052486583031,1329.7640296603029,1350.728254327467,220937634,224420798,166148.0,206.91807744680003
11,-0.15028438009573541,3933.388907712507,6079.594775740121,371484982,574181249,94444.0,117.61905594040002
12,0.0019053552287936343,3372.936741064844,4674.267698244924,274435625,380317117,81364.0,101.32943191240003
13,0.09484983091347707,2687.816975733026,4602.410838381211,289305868,495385093,107636.0,134.04816298760002
14,0.17526629034707353,2773.0255996490623,4985.240572467061,353998902,636405841,127658.0,158.98324343780004
15,0.15611403501985166,185.53586723768737,432.6663811563169,3465810,8082208,18680.0,23.263774988000005
16,-0.11088251276107505,15.511083338814707,2.8835756100769583,235815,43839,15203.0,18.933574472300002
17,0.9148316699417963,908.5806522715213,451.9815257765623,111296587,55365477,122495.0,152.55332532950004
18,0.9053934513145144,75.75991792065663,36.12023961872821,6867182,3274083,90644.0,112.88659636040002
19,0.2551813642888609,16.902033657148465,5.8011480718280835,1377989,472956,81528.0,101.53367490480002
20,0.15685695375003825,86.50112030334367,100.31066873491899,3011277,3492015,34812.0,43.354311289200005
21,0.7151620962703117,49.201835582052084,13.336349056932677,5645025,1530106,114732.0,142.88540856120002
22,-0.03171771651426436,1982.9788210377692,3325.233542181433,44942232,75363093,22664.0,28.225385242400005
23,-0.12099829225659363,3401.511084050345,5359.779305624689,382683603,602996611,112504.0,140.11069278640002
24,-0.13084264991761013,2595.2390984621734,4255.1160981525445,201162173,329822559,77512.0,96.53221235920002
