Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.4920918947633998,16.964899684573126,5.373115304253826,2102952,666046,123959.0,154.37656765190002
2,0.47677216914814535,62.31300745839197,69.3039593862353,10936369,12163330,175507.0,218.57362723870006
3,0.6873683290851583,73.11460107916233,47.72393265923474,11287359,7367573,154379.0,192.26115197390004
4,0.20976805217640537,14.540265843179377,14.247314715359828,1082959,1061140,74480.0,92.75620776800002
5,-0.18798184810817617,334.257391135492,1349.172586587267,61968312,250124455,185391.0,230.88300368310004
6,0.09826789522433188,549.6347414600483,437.7230574587996,66902640,53280526,121722.0,151.59064342020002
7,0.6830542097718602,22.3688907336308,10.749123171111341,2155690,1035893,96370.0,120.01766571700003
8,0.45527120303168844,31.267193963361972,111.87521023682895,2751388,9844571,87996.0,109.58881926360002
9,0.5919609530617297,12.275377516778523,10.4684740374426,1112051,948360,90592.0,112.82183638720002
10,0.5305337299891378,78.6798977160458,175.30757831115244,10830760,24132140,137656.0,171.43459366960002
11,0.5723781945005106,21.60699535955284,8.131765137086271,3301268,1242428,152787.0,190.27850048670004
12,-0.018968207062861474,24.45041376066922,154.83471587099874,2443501,15473717,99937.0,124.45995080170002
13,0.31196713209939886,134.07997826677533,23.04813909263787,7403226,1272603,55215.0,68.76388308150001
14,0.03934872375575547,34.1388771706284,125.65744319991735,3965333,14595489,116153.0,144.65509936730004
15,0.2679117960991304,77.44613482932395,96.60147063484517,4887006,6095746,63102.0,78.58622747820002
16,0.07468042869665334,23.017296050735084,30.498414528682616,239541,317397,10407.0,12.960712328700003
17,0.48316383944678387,14.425119985511184,12.781898034954269,1592966,1411505,110430.0,137.52776616300002
18,0.0770522556046911,12.479983987189751,21.169020931030538,1309350,2220969,104916.0,130.66071823560003
19,0.09274007907875854,18.332978972211002,4.805923500520911,3449020,904148,188132.0,234.29660150120006
20,0.7572161151302454,342.2433178474165,108.4722793872999,27772703,8802417,81149.0,101.06167433090002
21,0.6438496907398903,272.094897952722,156.01082214074484,42968410,24636761,157917.0,196.66732091970005
22,0.5700591698408726,26.894640082069618,21.885021279189054,2647858,2154646,98453.0,122.61180079730002
23,0.29639949599325266,17.73488232224512,7.864871797139648,2005159,889226,113063.0,140.80686249830003
24,0.23512606160675198,10.676162278946947,3.628373031749842,1200780,408094,112473.0,140.07208587930003
25,0.7018770991427572,95.29315015479877,63.11138381945576,9357025,6197033,98192.0,122.28675554720003
26,-0.4332533462673163,901.9116816282309,2603.214469509364,186472044,538219798,206752.0,257.4856534432
27,0.5797499194482156,99.49744951730534,77.63208760170313,9440716,7366043,94884.0,118.16702494440003
28,-0.19807645669546153,72.22620947310307,340.9106385231458,9550255,45077591,132227.0,164.67340339070003
29,0.41465092494149297,301.02449585375047,652.5003769317753,63889439,138486680,212240.0,264.32032138400007
30,0.3293711500464914,259.63205710577546,184.81235128704304,2400558,1708775,9246.0,11.514821388600001
31,0.22439593508747308,153.0243398794735,639.4654213141619,46316183,193548278,302672.0,376.9428963152001
32,0.13791540291522714,7.60088079666086,6.334505537844677,231272,192740,30427.0,37.893302010700005
33,0.13507630011685995,9.329053809312995,13.67046323499819,695397,1019010,74541.0,92.83217619810002
34,0.7415577674022685,418.8095084692923,275.57601579549,40302039,26518680,96230.0,119.84331194300002
35,-0.11730954047415641,78.12688606391826,175.8046017979486,1972782,4439242,25251.0,31.447193909100005
36,0.011896819714369275,170.44530187122243,188.55059437518122,7642256,8454043,44837.0,55.83928689170001
37,0.09853591624982345,203.15509938090582,205.6454871293581,3117415,3155630,15345.0,19.110419014500003
