Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.730676791566591,164.57205185064993,24.757026700560694,9128318,1373198,55467.0,69.07771987470001
2,0.00878055157411441,7.899022738640299,1.8862298487938132,410607,98050,51982.0,64.73755628620002
3,-0.08823799184924676,26.34534938462573,30.164279149012486,1175187,1345538,44607.0,55.55284854870001
4,0.00641193140475985,10.786446020488574,8.379388845109885,246384,191402,22842.0,28.447063612200004
5,0.6983040004180171,67.07077079351501,33.45811892701052,5018168,2503303,74819.0,93.17839297790002
6,0.8858793514114265,222.42477848927382,61.723161499362725,14484524,4019474,65121.0,81.10065797610001
7,0.6653432217317191,333.170861206636,70.21131242621773,58420511,12311343,175347.0,218.37436578270004
8,0.4042881580947939,19.4715984283472,3.6783035998235483,3796066,717100,194954.0,242.79261183140005
9,0.8197505548775917,107.54314029226778,35.00541236632388,11524538,3751250,107162.0,133.45785092420002
10,0.8535385130508764,260.48185328185326,53.25921560658403,25636624,5241772,98420.0,122.57070312200003
11,0.17585560153463942,26.899412870347046,3.749239444261437,2776396,386974,103214.0,128.54107449740002
12,0.6271799279131205,1377.9607111682822,266.72501493085866,149970354,29029017,108835.0,135.54137852350001
13,0.6908237991490677,140.40652085590466,24.76585635608523,12441141,2194453,88608.0,110.35099433280003
14,0.4751087324883767,53.65892549035163,7.332844138587549,2705644,369744,50423.0,62.79600247430001
15,-0.2875161116302631,518.939745633876,870.9705958693314,41985858,70467618,80907.0,100.76029137870002
16,0.3893248918316073,24.06196102501151,4.567776584317937,784059,148841,32585.0,40.58084089850001
17,-0.19654723072102342,737.8821667392078,798.6939619356625,74593984,80741570,101092.0,125.89836943720002
18,-0.17402169962647243,667.1131079082918,603.1593276245877,82112284,74240469,123086.0,153.28934733260002
19,0.7015225307702592,363.55172362467255,95.60370772803049,48849718,12846079,134368.0,167.33977074880002
20,-0.12139752627018802,26.60704710838759,2.3239371888165454,347355,30339,13055.0,16.258489425500002
21,0.7751229621833013,560.7437926770257,168.92089897306306,52146369,15708799,92995.0,115.81449437950002
22,-0.09820734279949042,31.195004198152812,31.810558354324098,297226,303091,9528.0,11.866019704800003
23,-0.15707109770938846,1012.4998709899372,1000.049837579639,153040368,151158533,151151.0,188.24105209910005
24,0.6829175566297834,705.0472247444666,166.5157152020526,84635984,19989046,120043.0,149.49964351630004
25,-0.050929278703993865,8.453400392649947,2.2446782696931593,766436,203516,90666.0,112.91399481060002
26,0.8385294735466164,102.3121790808241,36.80075277337559,12911797,4644255,126200.0,157.16747342000002
27,0.047119765819737654,18.428645666773264,8.096997921330349,1844044,810218,100064.0,124.61811458240003
28,0.6896922220379306,254.47362838766608,184.788950735656,29990735,21778117,117854.0,146.77349772140002
29,-0.3688592535422325,2122.618646767632,2493.858954565505,173231153,203528817,81612.0,101.63828716920003
30,0.2731916742877525,12.378677778342395,2.8513516946999338,974400,224447,78716.0,98.03165481560002
31,-0.20700076030459594,671.5140294796661,836.5893713372403,45375546,56530017,67572.0,84.15309440520002
32,0.7617168346491414,142.39272184936615,43.383962217250804,14321148,4363342,100575.0,125.25450585750002
33,0.19631748953521863,11.064951003008101,2.725459981176297,1199153,295369,108374.0,134.9672564534
34,0.16932064000654823,79.28597294955944,94.71850684065527,10158991,12136377,128131.0,159.57231011710002
35,0.6011570688960035,301.79574248581457,42.70943472189022,23987631,3394674,79483.0,98.98686442030002
36,0.673489426193372,85.08742667440211,25.429365693289498,5279845,1577943,62052.0,77.27857417320001
37,0.3279558769624171,21.28535716991137,9.494486348436807,1966916,877357,92407.0,115.08220852870002
38,0.2617312979033121,1832.8995318233583,1095.5958654941162,115883240,69267953,63224.0,78.73816433840001
39,0.6965061674806103,157.9083054026629,44.48540942775438,5135336,1446710,32521.0,40.50113631610001
40,-0.023759490702065574,7.229052592831178,5.627985091795886,157109,122313,21733.0,27.065932645300006
41,0.14992642690498276,45.27197901591896,3.5804088277858175,500527,39585,11056.0,13.768966609600003
42,0.6079048556034841,104.789081181253,65.82722082735533,7011647,4404631,66912.0,83.33114089920002
43,-0.07849647296797176,38.61156351791531,9.997964169381108,94830,24555,2456.0,3.0586633496000006
44,-0.3046755630056677,1647.1117102869305,1628.169613660416,277034307,273848360,168194.0,209.46613331540004
45,0.25522261390729606,3240.3156369691924,1871.1081432139883,97290477,56180022,30025.0,37.39265760250001
46,0.8074384859628918,271.56183052552177,55.80452602464169,5400007,1109673,19885.0,24.764462828500005
