Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.034509107186516313,30.960543337645536,6.630336351875808,1148760,246012,37104.0,46.20873164640001
2,0.8137075516864614,280.8444593019269,123.07059589933485,16382219,7178954,58332.0,72.64574532120001
3,0.07061885952985475,8.601547876169906,6.868142548596112,238951,190797,27780.0,34.59677029800001
4,0.45120225387240975,22.60228446153113,7.375903537896961,1422746,464291,62947.0,78.39319294270001
5,0.8714438898529017,797.8539147615801,327.3237418080118,57340963,23524430,71869.0,89.50450988290002
6,0.8679090250381929,1950.840458163673,1648.9157495112704,361244931,305336325,185174.0,230.61275533340003
7,0.19900503393649002,5.981293290329403,4.776841326072014,565621,451722,94565.0,117.76974741650002
8,0.8796944358050504,131.01958712307052,64.77146469411632,6943252,3432499,52994.0,65.99788499540001
9,0.588196991420143,14.052585297221245,10.124428420682378,159806,115135,11372.0,14.162507985200003
10,0.24655007978122456,254.47804861821479,349.11441830293654,30599204,41978565,120243.0,149.74872033630004
11,0.6487132909944495,82.25565973016236,42.990670020580836,5395560,2819973,65595.0,81.69097003950002
12,0.7987550468358776,615.3124580657529,747.8524753187003,51356439,62418759,83464.0,103.94473852240002
13,0.020966668247430157,63.35225774555043,4.569462755438365,1537686,110910,24272.0,30.227962875200006
14,0.5224825878236171,205.0910613583881,74.62148286900762,20693483,7529233,100899.0,125.65801030590002
15,0.8268678920553634,827.4147458613212,850.8455386893743,78219653,80434683,94535.0,117.73238589350002
16,0.40725512187459956,182.2639240506329,98.42115074798619,15838735,8552798,86900.0,108.22387829000002
17,0.7619048104487651,331.72114396487297,138.45113976083707,28405945,11855848,85632.0,106.64473125120001
18,0.7167966021645471,186.99229328148166,227.71726642339007,21060755,25647568,112629.0,140.26636579890004
19,0.9514968741158792,3368.2815471378526,2372.8591927474304,349991399,246559053,103908.0,129.40537106280001
20,0.5424523247800263,145.13546444954127,32.17491399082569,5062325,1122261,34880.0,43.438997408000006
21,0.8659103007089173,3644.4481666603074,3244.9365866687017,95517342,85046543,26209.0,32.64027187690001
22,0.10659318163580489,50.40069169204401,82.43579659356972,3293534,5386932,65347.0,81.38211478270001
23,0.6185278132773036,89.04682910335792,35.724667695103655,4213785,1690527,47321.0,58.93282099610001
24,0.8084372220036901,795.9554906812901,805.51317015931,168224397,170244403,211349.0,263.2106841509001
25,0.6671543410020135,1668.2982858333767,1417.6649299223675,32019649,27209243,19193.0,23.902657031300006
26,0.9638493264256167,3069.8327183145047,2064.4945266760124,297822891,200289001,97016.0,120.82218384560002
