Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,-0.18378119643965785,949.4374153957224,1564.944976600874,73645012,121388087,77567.0,96.60070848470002
2,-0.09399231033741536,1576.4832506640964,2781.5066879804413,134124042,236645026,85078.0,105.95478845980001
3,0.3861526607819147,40.738680786812004,24.362297557242435,1969593,1177844,48347.0,60.210585082700014
4,0.31556137297654535,48.23402851419819,22.110851891127606,2046811,938274,42435.0,52.84787428350001
5,-0.21791332357572882,1411.658125601006,2524.085997485021,95421031,170615593,67595.0,84.18173823950002
6,0.3650840571111267,21.455331412103746,6.561395169196945,1444330,441700,67318.0,83.83676684380002
7,0.2514460513384252,18.51044474393531,6.434568733153639,274695,95489,14840.0,18.481500044000004
8,0.5725136936148881,89.48026339365705,20.46379681060742,9987787,2284169,111620.0,139.00977324200002
9,0.5214115068069676,51.315342548125756,11.795072442570065,6315020,1451537,123063.0,153.26070349830002
10,0.7143071615234431,354.032098161011,99.85950042328366,34710369,9790525,98043.0,122.10119331630003
11,-0.09491971387061912,2474.5471453004234,3895.4862568809053,264774070,416813134,106999.0,133.25485331590002
12,0.4557811534215148,67.63167239272292,50.464882750351634,5866236,4377223,86738.0,108.02212606580002
13,0.7457608363908537,248.27477639559987,123.08137144032075,19319750,9577700,77816.0,96.91080912560003
14,0.8093806935502633,127.19612680276457,50.77402021493348,12735385,5083698,100124.0,124.69283762840003
15,0.015095300529232195,1503.3630896167801,2619.9590436900444,120984648,210843824,80476.0,100.22353083160002
16,0.597892378749592,105.34940739775983,28.952635234870193,9706473,2667580,92136.0,114.74470943760002
17,0.7419053639101333,424.73312117011966,322.17756966734754,46577933,35331281,109664.0,136.57380194240002
18,0.05635303343221147,23.98865300146413,6.988479617785313,2490406,725516,103816.0,129.29079572560002
19,0.0572244359344613,29.53133396661691,3.3061473741348895,1088082,121815,36845.0,45.88617716450001
