Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.7664512939483814,182.44033582923558,228.15422440768887,13059809,16332192,71584.0,89.14957541440002
2,0.3570187482781865,48.40191666075105,15.376730318733584,3409189,1083060,70435.0,87.71862908350002
3,0.06301939659866884,8.444626452684007,4.012661870503597,381486,181272,45175.0,56.26022671750001
4,0.7431916941147452,11.724381021554763,6.097413001217663,548830,285426,46811.0,58.29767510510001
5,0.9156628831993361,153.84253241397514,73.04485170400184,9326242,4428125,60622.0,75.49767491020002
6,0.6623894474814913,6.2144222566273815,4.2083162185219125,786721,532756,126596.0,157.66064552360004
7,0.026325278853381283,35.99628476359631,93.62386744306302,6404315,16657184,177916.0,221.57375753560004
8,0.5017358373473166,9.65411744025079,4.548982267503607,1318067,621068,136529.0,170.03104578890003
9,0.8647114407420473,56.149044493188825,30.069949088201252,6937046,3715052,123547.0,153.86346940270002
10,0.912115165124679,2013.750151334495,1135.0094469412088,219559179,123750080,109030.0,135.78422842300003
11,0.29004775130627714,9.080787917592557,4.679117547361681,964416,496941,106204.0,132.26477295640004
12,0.412766779430022,8.825054468742435,5.429939940286119,765547,471031,86747.0,108.03333452270002
13,0.9153443921747874,231.86472021408315,87.17634900347485,23220788,8730537,100148.0,124.72272684680003
14,0.9426668750446462,115.65623246024322,52.06663938260056,9890921,4452739,85520.0,106.50524823200001
15,0.07132496893033305,52.243393148450245,9.2952691680261,640504,113960,12260.0,15.268409066000004
