Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,-0.2608941440536231,255.2102024309199,645.103642007695,23348671,59019242,91488.0,113.93770054080002
2,0.7751791403805222,287.6696288709483,114.64031811061574,19098962,7611200,66392.0,82.68354116720002
3,0.3989743562754141,12.689794044339498,5.714311950675587,967343,435602,76230.0,94.93562994300002
4,0.22728012824467028,32.01057804027885,7.800275948876839,1322421,322245,41312.0,51.44930793920001
5,-0.07646101740418923,1823.50670547874,2395.727102609419,52620933,69133497,28857.0,35.938048973700006
6,-0.34663487859366754,1425.1467912377632,2980.555405084172,197843153,413769643,138823.0,172.88795691430002
7,0.7611957986944093,1887.8997999103046,1561.482716390106,109449103,90525399,57974.0,72.19989781340001
8,0.020534666065822865,54.00425082734223,93.65368595229944,1892957,3282749,35052.0,43.65320347320001
9,-0.2426136935018525,1262.7561289667522,3606.710267865384,273608947,781487554,216676.0,269.8448452516001
10,-0.4806046934821942,1507.7915689531626,3091.0367321347144,185168867,379604039,122808.0,152.94313055280003
11,0.848031986060669,437.295459185032,343.4455031198133,98537535,77389949,225334.0,280.62738078940004
12,0.8186359244477402,249.3126517273576,40.145343137254905,21361108,3439653,85680.0,106.70450968800002
13,-0.1420654715807514,1332.6919011746793,2920.439119388848,150550206,329913246,112967.0,140.68730562470003
14,0.8457605567940195,70.57468144044321,35.840766389658356,7643238,3881555,108300.0,134.87509803000003
15,0.388404407469092,75.35433668963081,12.436989931107577,4265809,704058,56610.0,70.50119390100001
16,0.8443003291174972,395.18470975342245,215.82028679367917,38913048,21251392,98468.0,122.63048155880003
17,0.8697473921422935,314.1999008314898,246.08964579042387,49426158,38711870,157308.0,195.90888200280003
18,-0.045086919468226315,36.01433885289177,69.50323974082073,2401148,4633920,66672.0,83.03224871520001
19,0.7144892402593668,283.4797001370342,132.9820982346777,42201056,19796779,148868.0,185.39784019880003
20,0.13539415501806035,15.209298052186696,5.504961411245866,1324304,479328,87072.0,108.43808435520002
21,-0.19458729794692226,1317.3996923439024,3360.573450791836,156723137,399787260,118964.0,148.15587407240002
22,0.21292931273300458,1842.7368544600938,1715.5806729264475,47100354,43850242,25560.0,31.832017596000007
