Cell_ID,Pearson_Correlation,Mean_Intensity_Channel1,Mean_Intensity_Channel2,Sum_Intensity_Channel1,Sum_Intensity_Channel2,Area_Pixels,Area_Square_Microns
1,0.26021044029758694,239.5416129032258,222.76683870967742,7425790,6905772,31000.0,38.60690710000001
2,0.5011427139278002,1679.4556014025745,1284.0736581138701,292646818,223751119,174251.0,217.00942480910004
3,0.7511018608707286,35.68423485899214,22.095815996301432,3704880,2294076,103824.0,129.3007587984
4,0.6617458104107308,3441.185264583098,1548.7051788333522,30499225,13726174,8863.0,11.037839278300002
5,0.8861174794514156,39.695406563950336,20.364362379681218,3583741,1838515,90281.0,112.43452193210003
6,-0.36562499726458075,625.0224729387689,2730.5512897840485,116060423,507036069,185690.0,231.25537352900005
7,0.8083213080529535,80.71042823076769,37.98104322385428,8055385,3790736,99806.0,124.29680548460003
8,0.7503637267458289,2243.222222222222,586.8,100945,26406,45.0,0.05604228450000001
9,0.7641364192414793,137.02821356030563,70.90648998936068,14167347,7331022,103390.0,128.76026209900002
10,0.8014275867953902,107.58124940269504,53.86467458825778,3377083,1690866,31391.0,39.093852283100006
11,0.5745503181528607,38.01447799853273,33.06969501878996,2539025,2208758,66791.0,83.18044942310001
12,0.07454325067585425,82.51061374914586,315.35597226422914,7365805,28152143,89271.0,111.17668399110002
13,-0.32023706038675953,656.2430282337036,1063.9447891571485,75726508,122772845,115394.0,143.70985283540003
14,-0.11284908163589237,1567.3382139055072,2140.0283612972876,209060975,285449823,133386.0,166.11680356260004
15,0.7889484793805224,189.2042167243815,131.82728056906402,30269269,21089992,159982.0,199.23903908620005
16,0.26804435372494106,618.9537562178214,818.7997410148979,99420685,131521346,160627.0,200.04231183070004
17,0.7745355670065474,75.32640284612008,44.375054866357104,9781962,5762589,129861.0,161.72682461010004
18,0.7079499391076854,126.8125,2095.375,2029,33526,16.0,0.019926145600000004
20,0.6812624643787932,144.92329487866735,81.64030397354871,32171957,18123576,221993.0,276.46655251130005
21,0.5102150248152872,103.02032789089728,166.465277855598,9193225,14854862,89237.0,111.13434093170002
22,0.21403487837112242,20.975010843421,7.730333977366823,2127789,784196,101444.0,126.33674464040003
23,0.6170889905494157,105.37125783311825,110.19501703230907,9063298,9478204,86013.0,107.11922259330002
24,-0.13565685387198587,1449.7171962135058,1376.5193308027556,123742061,117494184,85356.0,106.30100523960002
25,0.2583249359576345,347.89995835580527,923.4788263164003,50960038,135270255,146479.0,182.42261758390003
26,-0.2610481140536063,234.5106528214463,598.8302684924706,22674366,57899701,96688.0,120.41369786080003
27,0.580367414872358,273.6993094438223,131.37140724150802,14664809,7038880,53580.0,66.727680078
28,0.7668769649159767,87.2056225316982,41.520110164207026,6712740,3196052,76976.0,95.86468648160002
