"","Cell_ID","Pearson_Correlation","mean_intensity_KRAS","mean_intensity_BRAF","sum_intensity_KRAS","sum_intensity_BRAF","Area_Pixels","Area","KRAS_type","BRAF_type","image_no"
"46",30,0.67814489583603,41.1665900617946,20.7351641897758,3224332,1624061,78324,97.5434642484,"KRASG12D","BRAF_AAAA",16
"47",1,0.651142015191265,277.573727581192,331.010502504443,8589519,10243120,30945,38.5384109745,"KRASG12D","BRAF_AAAA",17
"48",2,0.891498756827267,3824.92702105887,3454.21764420746,71017420,64134459,18567,23.1230465847,"KRASG12D","BRAF_AAAA",17
"49",3,0.878068521719696,166.19377981696,114.120131924837,27311621,18754046,164336,204.6614414576,"KRASG12D","BRAF_AAAA",17
"50",4,0.856289155833284,237.406572322765,151.562831677779,34894018,22276705,146980,183.046555018,"KRASG12D","BRAF_AAAA",17
"51",5,0.925540500802856,477.46844636141,589.289747014048,101179861,124875801,211909,263.9080992469,"KRASG12D","BRAF_AAAA",17
"52",6,0.836923058910382,1324.291280651,1060.04171678098,122217518,97830190,92289,114.9352532049,"KRASG12D","BRAF_AAAA",17
"53",7,0.799444199664466,1527.35641758675,767.707561119874,30987007,15575251,20288,25.2663526208,"KRASG12D","BRAF_AAAA",17
"54",8,0.775549220454054,67.325307193152,58.7465414883336,2438186,2127506,36215,45.1015851815,"KRASG12D","BRAF_AAAA",17
"55",9,0.82383675513459,1672.61150404097,1766.15198462013,401082203,423512649,239794,298.6356348754,"KRASG12D","BRAF_AAAA",17
"56",10,0.409746081647656,42.9122947181536,63.0475632490013,7251105,10653462,168975,210.4387782975,"KRASG12D","BRAF_AAAA",17
"57",11,0.343601928549181,143.491272860231,198.64750181214,22369285,30967755,155893,194.1466635013,"KRASG12D","BRAF_AAAA",17
"58",12,0.856035859876836,205.684772929653,175.900950243355,16861832,14420184,81979,102.0953431339,"KRASG12D","BRAF_AAAA",17
"59",13,0.748950109335431,81.5999392097264,70.664715588363,9396233,8137042,115150,143.405979115,"KRASG12D","BRAF_AAAA",17
"60",14,0.761025122138661,462.781731998695,593.482850677039,86501773,110932034,186917,232.7834598197,"KRASG12D","BRAF_AAAA",17
"61",15,0.875318137341705,1862.06246514222,1476.53301445357,196982002,156197998,105787,131.7454477867,"KRASG12D","BRAF_AAAA",17
"62",16,0.940183162324224,515.021850046304,402.132183606787,58950431,46028854,114462,142.5491548542,"KRASG12D","BRAF_AAAA",17
"63",17,0.918984573055437,79.5516527936091,46.7378423164973,8305113,4879384,104399,130.0168546559,"KRASG12D","BRAF_AAAA",17
"64",18,0.822117990658442,2919.64131099812,2553.77709445347,276776157,242092961,94798,118.0599219118,"KRASG12D","BRAF_AAAA",17
"65",19,0.837883806282762,218.303049450136,182.759940425148,14510822,12148236,66471,82.7819265111,"KRASG12D","BRAF_AAAA",17
"66",20,0.862500404477496,44.7563584050379,14.1343883173638,6595476,2082900,147364,183.5247825124,"KRASG12D","BRAF_AAAA",17
"67",21,0.920580456580808,1062.07407238498,996.014466051297,116441553,109199042,109636,136.5389311876,"KRASG12D","BRAF_AAAA",17
"68",22,0.790348758868047,432.715959271006,240.283084720557,28515549,15834415,65899,82.0695668059,"KRASG12D","BRAF_AAAA",17
"69",23,0.916725838827275,2346.51856894999,1861.0445226539,427376120,338955761,182132,226.8242969012,"KRASG12D","BRAF_AAAA",17
"70",24,0.695162149474702,129.289278594568,29.1025209735028,12452109,2802922,96312,119.9454334392,"KRASG12D","BRAF_AAAA",17
"71",25,0.778481970885004,629.534992427773,547.309034249767,43231427,37584806,68672,85.5230169152,"KRASG12D","BRAF_AAAA",17
"72",26,0.878784918429984,529.695950162353,595.514823315388,50081163,56304140,94547,117.7473305027,"KRASG12D","BRAF_AAAA",17
"73",27,0.892153771469651,241.066306274371,198.319833392414,13600961,11189205,56420,70.264570922,"KRASG12D","BRAF_AAAA",17
"74",28,0.798592169481396,40.7345449282554,18.383409833354,3940334,1778264,96732,120.4684947612,"KRASG12D","BRAF_AAAA",17
"75",29,0.891711887683845,232.17594462071,201.498456879146,16099080,13971903,69340,86.354933494,"KRASG12D","BRAF_AAAA",17
"76",1,0.0505874323151057,47.3990208317079,38.0266833112273,2430053,1949552,51268,63.8483520388,"KRASG12D","BRAF_AAAA",18
"77",2,0.829030209659399,203.956582839762,113.208827171981,31783982,17642124,155837,194.0769219917,"KRASG12D","BRAF_AAAA",18
"78",3,0.831883997353931,1136.7517671793,1141.97933462457,206003292,206950637,181221,225.6897519861,"KRASG12D","BRAF_AAAA",18
"79",4,0.244311367697775,17.9608885965708,6.05669962805044,1583863,534104,88184,109.8229514744,"KRASG12D","BRAF_AAAA",18
"80",5,0.833894724972599,703.038371471025,776.995700842001,177429309,196094290,252375,314.3038122375,"KRASG12D","BRAF_AAAA",18
"81",6,0.904473446251289,419.537640951284,268.234946856026,32406346,20719272,77243,96.1972040363,"KRASG12D","BRAF_AAAA",18
"82",7,0.917238926839617,147.606722206263,124.511464835079,22608036,19070674,153164,190.7480102924,"KRASG12D","BRAF_AAAA",18
"83",8,0.879309019831286,1059.832368548,1312.8944448676,166974470,206843894,157548,196.2077741868,"KRASG12D","BRAF_AAAA",18
"84",9,0.814637394257473,87.7330866591117,53.7372305129641,12851318,7871537,146482,182.4263537362,"KRASG12D","BRAF_AAAA",18
"85",10,0.897794139565812,123.11556232472,79.6604670235123,16813523,10878991,136567,170.0783703847,"KRASG12D","BRAF_AAAA",18
"86",11,0.947993179446056,3739.8012260676,2676.37130845622,287332668,205628284,76831,95.6841057871,"KRASG12D","BRAF_AAAA",18
"87",12,0.854220139682831,195.225978503892,129.731621905557,14494748,9632054,74246,92.4647878886,"KRASG12D","BRAF_AAAA",18
"88",13,0.593869888532472,55.858263395001,23.675409911043,4885252,2070604,87458,108.9188026178,"KRASG12D","BRAF_AAAA",18
