Cell_ID,Pearson_Correlation,mean_intensity_KRAS,mean_intensity_BRAF,sum_intensity_KRAS,sum_intensity_BRAF,Area_Pixels,Area,KRAS_type,BRAF_type,image_no,BRAF_75th,KRAS_75th
3,0.8775801562914127,1954.4677160143697,1905.5349688031763,206743595,201567489,105780,131.73673009800004,KRASG12D,BRAF_AAAA,15,1174.2835885221975,1363.2387358272522
7,0.9561424863791664,1544.3124862955292,1781.1197953465708,253545224,292424248,164180,204.46716153800003,KRASG12D,BRAF_AAAA,15,1174.2835885221975,1363.2387358272522
5,0.9036432023693696,4320.0313875185475,3010.2379300724133,681294870,474732583,157706,196.40454487460005,KRASG12D,BRAF_AAAA,16,1174.2835885221975,1363.2387358272522
18,0.9000667628483052,3921.291610828196,2735.548480115343,424279831,295983610,108199,134.74931423590002,KRASG12D,BRAF_AAAA,16,1174.2835885221975,1363.2387358272522
19,0.9431012724773286,2340.653654847063,1655.511524754506,365170058,258279664,156012,194.29486420920003,KRASG12D,BRAF_AAAA,16,1174.2835885221975,1363.2387358272522
21,0.8627132735396654,2914.2381349244397,1612.8370640253122,395132806,218679739,135587,168.85789396670003,KRASG12D,BRAF_AAAA,16,1174.2835885221975,1363.2387358272522
28,0.8535602066305169,1942.3867178359153,1720.643176393504,166011908,147059931,85468,106.44048825880002,KRASG12D,BRAF_AAAA,16,1174.2835885221975,1363.2387358272522
9,0.8238367551345896,1672.6115040409684,1766.1519846201322,401082203,423512649,239794,298.63563487540006,KRASG12D,BRAF_AAAA,17,1174.2835885221975,1363.2387358272522
15,0.8753181373417049,1862.0624651422197,1476.5330144535717,196982002,156197998,105787,131.74544778670003,KRASG12D,BRAF_AAAA,17,1174.2835885221975,1363.2387358272522
18,0.822117990658442,2919.641310998122,2553.7770944534695,276776157,242092961,94798,118.05992191180002,KRASG12D,BRAF_AAAA,17,1174.2835885221975,1363.2387358272522
23,0.916725838827275,2346.518568949992,1861.044522653899,427376120,338955761,182132,226.82429690120009,KRASG12D,BRAF_AAAA,17,1174.2835885221975,1363.2387358272522
11,0.9479931794460558,3739.801226067603,2676.3713084562223,287332668,205628284,76831,95.68410578710002,KRASG12D,BRAF_AAAA,18,1174.2835885221975,1363.2387358272522
8,0.9147717657179036,3526.5222867853795,1526.2525960637302,188139964,81425576,53350,66.44124173500002,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
9,0.8874100183487235,1385.6939939077874,1357.224933416264,173774341,170204150,125406,156.17863844460004,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
11,0.9411946886566576,2881.337319634424,1856.534964516101,330083122,212682789,114559,142.66995711190003,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
18,0.914113571570494,3918.055910867772,1993.1175718162365,327749295,166726278,83651,104.17762534910004,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
20,0.7531837606224825,1539.4836395098191,1464.752187241279,206403190,196383720,134073,166.97238243930002,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
21,0.8725905257493151,1992.567549399063,1264.9771847626807,97815141,62097730,49090,61.135905469000015,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
28,0.8337034905293723,2491.935729638637,2922.0191832245173,246943355,289563335,99097,123.41382815770002,KRASG12D,BRAF_AAAA,19,1174.2835885221975,1363.2387358272522
10,0.8172177722384008,1748.0569869056078,1831.295532772892,378863383,396904006,216734,269.91707752940005,KRASG12D,BRAF_AAAA,20,1174.2835885221975,1363.2387358272522
18,0.8844900626860458,1530.966262006856,1999.6840146175343,270635030,353492142,176774,220.15152889340004,KRASG12D,BRAF_AAAA,20,1174.2835885221975,1363.2387358272522
3,0.8831541358426733,3276.8682397283133,1989.8269566753695,333853890,202727550,101882,126.88222287620002,KRASG12D,BRAF_AAAA,22,1174.2835885221975,1363.2387358272522
4,0.9006656815351051,2025.4626251342645,1892.207776584318,235713213,220205680,116375,144.93157463750003,KRASG12D,BRAF_AAAA,22,1174.2835885221975,1363.2387358272522
8,0.923615652734404,2237.120409138396,2017.9753318378023,276237391,249177576,123479,153.77878328390003,KRASG12D,BRAF_AAAA,22,1174.2835885221975,1363.2387358272522
2,0.9284665635732184,2093.738668431193,1408.0271295953914,107582574,72348658,51383,63.99157121030001,KRASG12D,BRAF_AAAA,23,1174.2835885221975,1363.2387358272522
11,0.6803614244223732,2777.447970365797,1560.4168235838863,269926281,151649109,97185,121.03265375850002,KRASG12D,BRAF_AAAA,23,1174.2835885221975,1363.2387358272522
12,0.9088304375000232,2442.6885678205317,1786.8318414797209,263067788,192434642,107696,134.12288603360005,KRASG12D,BRAF_AAAA,23,1174.2835885221975,1363.2387358272522
2,0.9511168877094904,4190.996355671003,2504.9695853606527,216200929,129223866,51587,64.24562956670002,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
17,0.9431247594600024,1967.999975699254,1578.4293941824014,161970334,129907896,82302,102.4976021982,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
21,0.9369895067155964,1863.847836795888,1701.844838295138,174046111,158918271,93380,116.29396725800002,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
23,0.9078321811150668,1408.3738019501443,1219.9632008981475,135482743,117358020,96198,119.80345965180004,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
27,0.9215444757907982,2341.6953232018823,1673.608298012925,290609073,207698137,124102,154.55465757820002,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
30,0.9329617297595096,2479.9758299433543,2107.4434517490595,292014674,248149359,117749,146.64273239090002,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
31,0.8834575347816515,2380.5050897284013,1823.55145671537,217016366,166242245,91164,113.53419609240002,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
32,0.8096619376238432,1368.7584167988894,1421.8494025188418,110420479,114703435,80672,100.46762611520002,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
35,0.8794950037077112,1892.6765714985909,1672.1528305354736,370707204,327514542,195864,243.9259113624001,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
37,0.9756798313951012,2862.785028307457,2918.980176096697,329689775,336161433,115164,143.4234144924,KRASG12D,BRAF_AAAA,24,1174.2835885221975,1363.2387358272522
6,0.8679090250381929,1950.840458163673,1648.9157495112704,361244931,305336325,185174,230.61275533340003,KRASG12D,BRAF_AAAA,25,1174.2835885221975,1363.2387358272522
19,0.9514968741158792,3368.2815471378526,2372.8591927474304,349991399,246559053,103908,129.4053710628,KRASG12D,BRAF_AAAA,25,1174.2835885221975,1363.2387358272522
26,0.9638493264256168,3069.8327183145047,2064.4945266760124,297822891,200289001,97016,120.82218384560002,KRASG12D,BRAF_AAAA,25,1174.2835885221975,1363.2387358272522
19,0.9331957318216028,3514.5636565054624,2730.306020322408,460021237,357369755,130890,163.00832484900002,KRASG12D,BRAF_AAAA,26,1174.2835885221975,1363.2387358272522
23,0.8630245871745513,2288.336119076881,1608.387068141472,335149708,235564370,146460,182.39895528600005,KRASG12D,BRAF_AAAA,26,1174.2835885221975,1363.2387358272522
13,-0.3104794234853507,1049.021091528596,1364.5959496586725,87436957,113740437,83351,103.8040101191,KRASG12D,BRAF_R188L,27,791.7674300936054,909.6861573829804
15,-0.15441476065297854,2467.7443113698446,3689.789869850569,199657789,298529829,80907,100.76029137870002,KRASG12D,BRAF_R188L,27,791.7674300936054,909.6861573829804
18,-0.14309359330621457,1025.8496824142233,963.5413147194104,107725501,101182437,105011,130.77902972510003,KRASG12D,BRAF_R188L,27,791.7674300936054,909.6861573829804
19,-0.5441783140712274,1208.0713530890564,3246.1668390842956,217206397,583647813,179796,223.91507964360005,KRASG12D,BRAF_R188L,27,791.7674300936054,909.6861573829804
20,-0.4611048461678814,1157.1095464250438,3456.386393342757,195642925,584402355,169079,210.56829824390005,KRASG12D,BRAF_R188L,27,791.7674300936054,909.6861573829804
25,-0.347509903830948,2022.9619538204329,1719.0844516741222,358161368,304360464,177048,220.49276413680005,KRASG12D,BRAF_R188L,27,791.7674300936054,909.6861573829804
3,-0.35984645525820136,1064.1009480626549,1725.315269108468,180705623,292993039,169820,211.49112786200004,KRASG12D,BRAF_R188L,28,791.7674300936054,909.6861573829804
6,0.09393547919382098,1435.587012215906,1828.8083389226692,130562332,166324632,90947,113.26394774270004,KRASG12D,BRAF_R188L,28,791.7674300936054,909.6861573829804
20,-0.26169354950886725,1023.98508031372,1914.74541492568,239186531,447253893,233584,290.90179961440003,KRASG12D,BRAF_R188L,28,791.7674300936054,909.6861573829804
26,-0.0460481298659697,1311.3313808439093,2607.4116860107747,108802476,216339555,82971,103.33076416110002,KRASG12D,BRAF_R188L,28,791.7674300936054,909.6861573829804
2,-0.40334513804083494,1246.238893826128,1384.8691829159914,119196519,132455813,95645,119.11476224450004,KRASG12D,BRAF_R188L,29,791.7674300936054,909.6861573829804
4,-0.4073395651663071,1305.3851685179231,1000.2417526816434,219296876,168034613,167994,209.21705649540004,KRASG12D,BRAF_R188L,29,791.7674300936054,909.6861573829804
15,0.507277492201802,2493.000591876078,909.0417864511112,147421097,53755277,59134,73.64454336940001,KRASG12D,BRAF_R188L,29,791.7674300936054,909.6861573829804
7,-0.4104447512060844,1413.1201644008852,1765.3927916534935,111742477,139598435,79075,98.47874770750002,KRASG12D,BRAF_R188L,30,791.7674300936054,909.6861573829804
11,-0.4978965933254776,1149.2044844137167,1574.142249022428,198965220,272535970,173133,215.61708538530004,KRASG12D,BRAF_R188L,30,791.7674300936054,909.6861573829804
29,-0.3958229146045101,1133.2999564552326,1394.2815559996873,101501744,124876039,89563,111.54033614830004,KRASG12D,BRAF_R188L,30,791.7674300936054,909.6861573829804
7,-0.1902292936921892,1130.6426146010187,964.857928047968,210439726,179583217,186124,231.79587022840005,KRASG12D,BRAF_R188L,31,791.7674300936054,909.6861573829804
9,-0.1927828391066996,1751.614346809774,1054.5815313385494,233047034,140308909,133047,165.69461835270002,KRASG12D,BRAF_R188L,31,791.7674300936054,909.6861573829804
20,-0.09044627267110616,1485.3089539136795,939.032055596196,101520867,64182841,68350,85.12200323500002,KRASG12D,BRAF_R188L,31,791.7674300936054,909.6861573829804
29,-0.39717588048114577,1532.3854446100347,1581.0417039244908,123387676,127305478,80520,100.27832773200002,KRASG12D,BRAF_R188L,31,791.7674300936054,909.6861573829804
